,syn,cluster,shared,pf_index
1285,107,4,True,334
1286,107,4,False,951
1287,107,4,True,335
1288,108,4,False,952
1289,108,4,True,336
1290,108,4,False,953
1291,108,4,False,954
1292,108,4,False,955
1293,109,4,False,956
1294,109,4,True,337
1295,109,4,True,338
1296,109,4,False,957
1297,109,4,False,958
1298,109,4,True,339
1299,109,4,True,340
1300,109,4,True,341
1301,109,4,True,342
1302,109,4,False,959
1303,109,4,False,960
1304,109,4,False,961
1305,109,4,True,343
1306,109,4,False,962
1307,110,4,False,963
1308,110,4,False,964
1309,110,4,True,344
1310,110,4,False,965
1311,110,4,False,966
1312,110,4,False,967
1313,110,4,False,968
1314,110,4,True,345
1315,110,4,False,969
1316,110,4,False,970
1317,110,4,False,971
1318,110,4,False,972
1319,110,4,False,973
1320,111,4,False,974
1321,111,4,False,975
1322,111,4,False,976
1323,111,4,True,346
1324,111,4,False,977
1325,111,4,True,347
1326,111,4,False,978
1327,111,4,False,979
1328,111,4,False,980
1329,111,4,False,981
1330,111,4,True,348
1331,111,4,False,982
1332,111,4,False,983
1333,111,4,False,984
1334,112,4,False,985
1335,112,4,True,349
1336,112,4,False,986
1337,112,4,False,987
1338,112,4,False,988
1339,112,4,False,989
1340,112,4,True,350
1341,112,4,False,990
1342,112,4,False,991
1343,112,4,False,992
1344,112,4,False,993
1345,112,4,False,994
1346,112,4,False,995
1347,112,4,True,351
1348,112,4,False,996
1349,113,4,False,997
1350,113,4,False,998
1351,113,4,True,352
1352,113,4,False,999
1353,113,4,False,1000
